iter	Passed	Remaining
657	2643	1374
658	2648	1370
659	2652	1366
660	2656	1362
661	2662	1359
662	2666	1355
663	2670	1351
664	2676	1348
665	2681	1344
666	2685	1340
667	2690	1337
668	2697	1334
669	2701	1330
670	2707	1327
671	2712	1323
672	2716	1320
673	2720	1315
674	2726	1312
675	2734	1310
676	2738	1306
677	2745	1304
678	2750	1300
679	2755	1296
680	2761	1293
681	2765	1289
682	2769	1285
683	2775	1282
684	2781	1278
685	2785	1274
686	2790	1271
687	2795	1267
688	2800	1263
689	2805	1260
690	2810	1256
691	2814	1252
692	2820	1249
693	2826	1246
694	2830	1242
695	2834	1238
696	2842	1235
697	2846	1231
698	2849	1227
699	2856	1224
700	2860	1220
701	2865	1216
702	2870	1212
703	2875	1208
704	2879	1204
705	2883	1200
706	2889	1197
707	2894	1193
708	2898	1189
709	2902	1185
710	2907	1181
711	2912	1178
712	2916	1174
713	2923	1171
714	2927	1166
715	2931	1162
716	2936	1159
717	2940	1154
718	2944	1150
719	2948	1146
720	2953	1142
721	2957	1138
722	2962	1135
723	2968	1131
724	2974	1128
725	2978	1124
726	2983	1120
727	2989	1117
728	2995	1113
729	3000	1109
730	3006	1106
731	3010	1102
732	3015	1098
733	3021	1094
734	3027	1091
735	3036	1089
736	3042	1085
737	3048	1082
738	3056	1079
739	3061	1075
740	3068	1072
741	3073	1068
742	3078	1064
743	3086	1061
744	3090	1057
745	3094	1053
746	3101	1050
747	3106	1046
748	3110	1042
749	3117	1039
750	3121	1034
751	3125	1030
752	3134	1028
753	3139	1024
754	3143	1020
755	3148	1016
756	3153	1012
757	3157	1008
758	3162	1004
759	3168	1000
760	3172	996
761	3177	992
762	3182	988
763	3187	984
764	3191	980
765	3196	976
766	3201	972
767	3205	968
768	3209	964
769	3214	960
770	3220	956
771	3224	952
772	3228	948
773	3235	944
774	3242	941
775	3249	937
776	3253	933
777	3257	929
778	3263	925
779	3268	921
780	3272	917
781	3278	914
782	3284	910
783	3288	906
784	3294	902
785	3299	898
786	3303	894
787	3307	889
788	3312	885
789	3318	882
790	3323	878
791	3328	874
792	3332	869
793	3336	865
794	3341	861
795	3345	857
796	3349	853
797	3353	848
798	3357	844
799	3361	840
800	3365	836
801	3369	831
802	3373	827
803	3376	823
804	3380	818
805	3384	814
806	3388	810
807	3391	806
808	3396	801
809	3399	797
810	3403	793
811	3407	788
812	3411	784
813	3415	780
814	3419	776
815	3423	771
816	3427	767
817	3431	763
818	3435	759
819	3439	754
820	3443	750
821	3446	746
822	3450	742
823	3454	737
824	3458	733
825	3462	729
826	3465	725
827	3469	720
828	3473	716
829	3477	712
830	3480	707
831	3485	703
832	3488	699
833	3492	695
834	3496	690
835	3500	686
836	3504	682
837	3507	678
838	3511	673
839	3515	669
840	3519	665
841	3522	661
842	3526	656
843	3530	652
844	3534	648
845	3538	644
846	3542	639
847	3545	635
848	3549	631
849	3553	627
850	3557	622
851	3561	618
852	3564	614
853	3568	610
854	3572	605
855	3576	601
